Risk_Report_Date;risk_date;inn;client_type
12.10.2022;16.08.2022;4273914109;ЮЛ
12.10.2022;16.08.2022;6273914109;ЮЛ
12.10.2022;24.08.2022;2278973228;ЮЛ
12.10.2022;24.08.2022;7278973228;ЮЛ
12.10.2022;05.09.2022;1200006361;ЮЛ
12.10.2022;05.09.2022;1200006361;ЮЛ
12.10.2022;01.06.2022;1650407490;ЮЛ
12.10.2022;01.06.2022;1650407490;ЮЛ
12.10.2022;29.08.2022;1655477815;ЮЛ
12.10.2022;29.08.2022;1655477815;ЮЛ
12.10.2022;01.09.2022;1658240469;ЮЛ
12.10.2022;01.09.2022;1658240469;ЮЛ
12.10.2022;05.09.2022;1683006060;ЮЛ
12.10.2022;05.09.2022;1683006060;ЮЛ
12.10.2022;15.09.2022;1840017202;ЮЛ
12.10.2022;15.09.2022;1840017202;ЮЛ
12.10.2022;15.08.2022;2209052283;ЮЛ
12.10.2022;15.08.2022;2209052283;ЮЛ
12.10.2022;21.02.2022;2366032495;ЮЛ
12.10.2022;21.02.2022;2366032495;ЮЛ
12.10.2022;02.09.2022;2462073085;ЮЛ
12.10.2022;02.09.2022;2462073085;ЮЛ
12.10.2022;02.08.2022;2508100584;ЮЛ
12.10.2022;02.08.2022;2508100584;ЮЛ
12.10.2022;20.05.2022;2543165182;ЮЛ
12.10.2022;20.05.2022;2543165182;ЮЛ
12.10.2022;18.07.2022;2636803663;ЮЛ
12.10.2022;18.07.2022;2636803663;ЮЛ
12.10.2022;17.08.2022;2801256368;ЮЛ
12.10.2022;17.08.2022;2801256368;ЮЛ
12.10.2022;26.09.2022;3100003346;ЮЛ
12.10.2022;26.09.2022;3100003346;ЮЛ
12.10.2022;31.08.2022;3123464329;ЮЛ
12.10.2022;31.08.2022;3123464329;ЮЛ
12.10.2022;12.05.2022;3255521037;ЮЛ
12.10.2022;12.05.2022;3255521037;ЮЛ
12.10.2022;20.01.2022;3435311631;ЮЛ
12.10.2022;20.01.2022;3435311631;ЮЛ
12.10.2022;16.09.2022;3435312628;ЮЛ
12.10.2022;16.09.2022;3435312628;ЮЛ
12.10.2022;15.06.2022;3435313340;ЮЛ
12.10.2022;15.06.2022;3435313340;ЮЛ
12.10.2022;19.08.2022;3435313501;ЮЛ
12.10.2022;19.08.2022;3435313501;ЮЛ
12.10.2022;19.07.2022;3435315192;ЮЛ
12.10.2022;19.07.2022;3435315192;ЮЛ
